content_area,content_area_name,ops_item,ops_status,plain_meaning,minimum_competence,application,theory,example
S1,Ajattelun taidot ja menetelmät,Säännönmukaisuudet ja riippuvuudet,harjoitellaan,Find patterns and relationships,Recognise a pattern and describe its rule,Predicting what happens next,"Pattern, dependency, variable","3, 7, 11, 15… What is term 20?"
S1,Ajattelun taidot ja menetelmät,Vaihtoehtojen lukumäärä,pohditaan ja määritetään,Count possible alternatives,Systematically count combinations,"Choices, schedules, passwords, probability",Systematic listing/tree principle,3 shirts × 2 trousers = 6 outfits
S1,Ajattelun taidot ja menetelmät,Päättely ja perusteleminen,vahvistetaan,Explain why an answer is true,Give a coherent mathematical reason rather than just an answer,Central to all mathematics,"Implication, counterexample, logical reasoning",Explain why odd + odd is even
S1,Ajattelun taidot ja menetelmät,Matemaattisen tekstin tulkinta ja tuottaminen,harjoitellaan,Read and write mathematics,Translate between words and mathematical notation,"Problems, science, finance",Mathematical notation/language,“Five less than twice x” → 2x-5
S1,Ajattelun taidot ja menetelmät,Matemaattinen todistaminen,tutustutaan perusteisiin,Understand the idea of proof,Follow and produce a simple argument,Why mathematics gives certainty,Assumptions → logical steps → conclusion,Why the sum of two even numbers is even
S1,Ajattelun taidot ja menetelmät,Väitteiden totuusarvo,harjoitellaan,Decide whether statements are true,Test a claim and find counterexamples,Critical reasoning,"True/false, counterexample",“All prime numbers are odd.”
S1,Ajattelun taidot ja menetelmät,Algoritminen ajattelu,syvennetään,Turn a procedure into exact steps,Construct/follow an unambiguous procedure,Programming and systematic problem-solving,"Algorithm, sequence, condition, repetition",Procedure for finding the largest of three numbers
S1,Ajattelun taidot ja menetelmät,Ohjelmointi,ohjelmoidaan,Express algorithms as computer programs,Write simple programs implementing mathematical ideas,"Automation, simulation","Variables, loops, conditions",Program that lists multiples of 7
S1,Ajattelun taidot ja menetelmät,Ohjelmistot matematiikassa,hyödynnetään,Use computers as mathematical tools,Use appropriate software to investigate/solve problems,Real-world mathematics and data,Depends on task,Plot y=2x-3 digitally
S2,Luvut ja laskutoimitukset,Negatiiviset luvut,harjoitellaan,Calculate below zero,Perform four basic operations involving negative numbers,"Temperature, debt, height relative to sea level","Number line, signs",-7+12=5
